# MT65536/bor605a059_04Abs1.zss [1-7]
# MT65536/bor605a059_06B.zss [1-12]
# MT00128/bor605a059_04C.zss [1-10]
# MT00128/bor605a059_06D.zss [1-24]
>STATION   =bor605a
>AZIMUTH   =    -23.0000
>LATITUDE  =    -9.33812
>LONGITUDE =   -37.73704
>ELEVATION =    296.0000
bor605a -23.0
ZXX SI units (ohms)
53
    1.1161e-04   -4.9300e-02   -5.6890e-02    2.7132e-03   1
    1.5625e-04   -2.8483e-02   -7.3433e-02    3.1146e-03   1
    2.2321e-04   -8.5058e-03   -6.6045e-02    3.0626e-03   1
    3.1250e-04   -5.6466e-03   -5.9927e-02    3.5461e-03   1
    4.4643e-04   -7.9004e-03   -7.7116e-02    6.8400e-03   1
    6.2500e-04    1.9991e-02   -9.8042e-02    7.2203e-03   1
    8.9286e-04    1.9766e-02   -3.9227e-02    7.8185e-03   1
    1.1161e-03    5.8549e-02   -2.4927e-02    1.5023e-03   1
    1.5625e-03    6.8610e-02   -1.5536e-02    5.0342e-04   1
    2.2321e-03    6.0028e-02    6.5820e-03    6.0765e-04   1
    3.1250e-03    4.2024e-02    2.2568e-02    8.3828e-04   1
    4.4643e-03    4.2616e-02    1.4532e-02    6.8397e-04   1
    6.2500e-03    3.2333e-02    1.0241e-02    7.4319e-04   1
    8.9286e-03    3.0680e-02    4.4508e-03    8.3981e-04   1
    1.2500e-02    3.3566e-02    3.2108e-03    8.9479e-04   1
    1.7857e-02    3.6358e-02    5.0874e-03    2.7803e-03   1
    2.5000e-02    3.8485e-02    9.6840e-03    1.0149e-03   1
    3.5714e-02    3.4149e-02    1.6277e-02    1.1777e-03   1
    5.0000e-02    2.7111e-02    2.2496e-02    1.1598e-03   1
    7.1429e-02    1.5134e-02    1.9979e-02    2.5545e-04   1
    1.0000e-01    9.0306e-03    1.2958e-02    2.2588e-04   1
    1.4286e-01    7.7837e-03    5.8476e-03    1.4481e-04   1
    2.0000e-01    1.2523e-02    2.9074e-05    3.1191e-04   1
    2.8571e-01    1.5254e-02   -1.7810e-03    4.9266e-04   1
    4.0000e-01    1.6033e-02   -2.2846e-03    7.9886e-04   1
    5.7143e-01    1.0468e-02    3.2221e-03    1.0587e-03   1
    8.0000e-01    7.4813e-03    4.7473e-03    1.1428e-03   1
    1.1429e+00   -1.2916e-03    2.5801e-03    2.3370e-03   1
    1.6000e+00   -3.6474e-03    2.2530e-04    1.4043e-03   1
    2.2857e+00   -4.8952e-03   -2.8810e-03    1.9732e-03   1
    3.2000e+00   -8.4675e-03   -1.0398e-03    2.3517e-03   1
    4.5714e+00   -4.1778e-03   -4.5858e-03    2.7862e-03   1
    6.4000e+00   -7.6039e-03   -1.8633e-03    2.7245e-03   1
    9.1429e+00    1.5929e-03   -3.1684e-04    3.9110e-03   1
    1.2800e+01   -1.3034e-03   -3.7029e-03    3.0478e-03   1
    1.8286e+01   -3.6081e-03    3.5771e-03    2.3425e-03   1
    2.5600e+01   -3.3013e-04   -1.2236e-03    1.4377e-03   1
    3.6571e+01    7.4062e-04    4.2703e-04    1.4421e-03   1
    5.1200e+01    3.9543e-04   -2.7114e-04    1.3299e-03   1
    7.3143e+01    4.3172e-04   -1.0000e-03    1.3387e-03   1
    1.0240e+02    6.2588e-04   -1.1351e-03    1.3175e-03   1
    1.4629e+02    1.7676e-03    3.4765e-04    2.1639e-03   1
    2.0480e+02   -2.8872e-04   -2.0203e-03    2.2897e-03   1
    2.9257e+02   -7.4222e-04    3.2666e-04    1.8804e-03   1
    4.0960e+02   -6.2917e-05   -1.2028e-03    1.1430e-03   1
    5.8514e+02    6.5571e-04   -2.0805e-03    3.0526e-03   1
    8.1920e+02   -2.8715e-04   -3.8723e-04    2.4821e-03   1
    1.1703e+03   -8.2748e-04    8.4536e-04    1.8764e-03   1
